Gene1	Gene2	G1_cor	G1_pVal	G0_cor	G0_pVal	zScoreDiff	pValDiff	pValDiff_adj	Classes	AIC	TPrate
HMGB1	RPL31	-0.125097761084029	0.001757230932937	-0.667289645686459	0	-13.3190719232587	1.79322772689857e-40	1.79322772689857e-40	-/-	3193.61556055229	0.818483674598782
RPS14	RPL31	0.500965875366548	0	0.844323056809939	0	13.4241005220377	4.3685632313086e-41	4.3685632313086e-41	+/+	11223.2939971625	0.798561151079137
RPS26	RPL31	0.159738487534469	6.20690149608638e-05	0.658240905942456	0	12.310479791543	7.95488759801561e-35	7.95488759801561e-35	+/+	10644.1438979918	0.776978417266187
EEF1D	RPL31	0.00762481929318834	0.849359438120078	0.458833547235267	0	9.56127312331227	1.16316904739286e-21	1.16316904739286e-21	0/+	5257.06804048676	0.768677365799668
ANXA1	RPL31	-0.181051318574195	5.42625727617541e-06	-0.530158087032666	0	-7.97665346712086	1.50354188873541e-15	1.50354188873541e-15	-/-	9394.55094965079	0.76535694521306
ACTB	RPL31	-0.195963732761198	8.25261992964954e-07	-0.597321271826844	0	-9.60499938131596	7.61583883337171e-22	7.61583883337171e-22	-/-	16078.3971096075	0.750415052573326
CD68	RPL31	-0.0793317695326962	0.0477865052143804	-0.55302758419488	0	-10.6389206108712	1.96391183573541e-26	1.96391183573541e-26	-/-	5317.21217222597	0.740453790813503
GLIPR1	RPL31	-0.281212142676798	8.69526672886423e-13	-0.620206673182719	0	-8.5455316056733	1.27945939967065e-17	1.27945939967065e-17	-/-	1682.84049894338	0.734366353071389
COMMD6	RPL31	0.336150958915659	0	0.6856982142931	0	9.59723331214526	8.21190781820798e-22	8.21190781820798e-22	+/+	4408.24972547594	0.729939125622579
PSAP	RPL31	0.030796657816314	0.442890164389434	-0.505376686608213	0	-11.5020819414601	1.28771324145361e-30	1.28771324145361e-30	0/-	8542.02261265834	0.60431654676259
MS4A6A	RPL31	-0.098988671844494	0.01344100233475	-0.483633805518456	0	-8.3900261890511	4.86033888764119e-17	4.86033888764119e-17	-/-	7868.46734932757	0.568898727172108
S100A4	RPL31	-0.301839644761904	1.37667655053519e-14	-0.592967354563566	0	-7.25971023645444	3.87920424291028e-13	3.87920424291028e-13	-/-	14105.3270256016	0.553956834532374
CFD	RPL31	-0.346484476537757	0	-0.673936391251951	0	-8.93984987020357	3.89699436225414e-19	3.89699436225414e-19	-/-	10172.5329352596	0.549529607083564
LSP1	RPL31	-0.35916942832934	0	-0.685475357134534	0	-9.07617550340612	1.12456959588006e-19	1.12456959588006e-19	-/-	7682.10614745488	0.542335362479247
SPI1	RPL31	-0.180304403286789	5.93984122465585e-06	-0.57182832882605	0	-9.16429986427468	4.98696379576455e-20	4.98696379576455e-20	-/-	6372.80703773917	0.532374100719424
RPS11	RPL31	0.456278196318249	0	0.802224375971609	0	11.9900033207498	4.00889095897246e-33	4.00889095897246e-33	+/+	7855.69726235638	0.525179856115108
IFITM2	RPL31	-0.124861798967303	0.00179312702542744	-0.54035514914348	0	-9.38369029720794	6.37031988415819e-21	6.37031988415819e-21	-/-	9380.50750912479	0.507470946319867
AIF1	RPL31	-0.216670850653737	4.70126924057013e-08	-0.512838657331043	0	-6.78431283003776	1.16640343042138e-11	1.16640343042138e-11	-/-	9576.73010413324	0.503597122302158
RPL22	RPL31	0.394824691080574	0	0.759196759304689	0	11.2965613968827	1.36457077166226e-29	1.36457077166226e-29	+/+	8419.44480435576	0.483674598782512
GRN	RPL31	-0.239953259062002	1.31102595446464e-09	-0.663800239508261	0	-10.8664719172022	1.66516052428467e-27	1.66516052428467e-27	-/-	6871.71701146307	0.472606530160487
ITGB2	RPL31	-0.233927460176804	3.43609452002624e-09	-0.676411547609647	0	-11.4398328767324	2.64394336214397e-30	2.64394336214397e-30	-/-	6620.86430935155	0.462645268400664
H3F3B	RPL31	-0.0421693732916194	0.293304566038418	-0.385344690436426	0	-7.13121921450485	9.94837277560309e-13	9.94837277560309e-13	0/-	8519.55060573868	0.45213060320974
VSIR	RPL31	-0.108422604673067	0.00675312714928245	-0.597983095208177	0	-11.3815172762245	5.16924607329983e-30	5.16924607329983e-30	-/-	4582.68822393091	0.447149972329828
SOD2	RPL31	-0.0619607204502336	0.122366493257208	-0.456915395521989	0	-8.44805101395089	2.96205956207778e-17	2.96205956207778e-17	0/-	6380.61030361767	0.446596568898727
H3F3A	RPL31	-0.141121699239639	0.000410849000576086	-0.703437365478271	0	-14.3358565080755	1.30624969270895e-46	1.30624969270895e-46	-/-	10028.7971860071	0.436081903707803
TMSB10	RPL31	-0.134196579903833	0.000785040264858372	0.344325951786087	0	9.67477029030645	3.85957411424168e-22	3.85957411424168e-22	-/+	14323.0449332827	0.415052573325955
RPL32	RPL31	0.312733347005154	1.33226762955019e-15	0.832619172017734	0	17.098046655067	1.53462168152735e-65	1.53462168152735e-65	+/+	11661.2060941189	0.376867736579967
RPLP1	RPL31	0.380495670303138	0	0.670707209413845	0	8.05680852925164	7.83121711673983e-16	7.83121711673983e-16	+/+	14846.6834015634	0.375207526286663
RPS15	RPL31	0.174279442649986	1.21545964049119e-05	0.826543131511488	0	19.6049761614971	1.40217967199711e-85	1.40217967199711e-85	+/+	10080.0160247396	0.361372440509131
RPS8	RPL31	0.482483261715508	0	0.790640217181244	0	10.7111407268889	9.02429100753063e-27	9.02429100753063e-27	+/+	12603.2009711714	0.36081903707803
RPL11	RPL31	0.327880426171123	0	0.708084405749976	0	10.6319976988658	2.11532097617375e-26	2.11532097617375e-26	+/+	11010.6501576714	0.355285002767017
RPL6	RPL31	0.548326646857153	0	0.767444598588289	0	7.79647247879634	6.36616985009567e-15	6.36616985009567e-15	+/+	9477.3568725291	0.350304371887106
RPL9	RPL31	0.459411168845166	0	0.736510065882806	0	8.73943724204556	2.34274482762158e-18	2.34274482762158e-18	+/+	8712.02332847985	0.332042058660764
RPL28	RPL31	0.434671857009827	0	0.86050138836437	0	16.2478485073142	2.31341620633559e-59	2.31341620633559e-59	+/+	12097.3132229412	0.329828444936359
CFL1	RPL31	-0.206043765443227	2.12235333973965e-07	-0.756920965328746	0	-15.2744784923164	1.13129427157782e-52	1.13129427157782e-52	-/-	7872.00689073261	0.327061427780852
RPS15A	RPL31	0.492769369211817	0	0.838017330204088	0	13.2148984250829	7.19834246224686e-40	7.19834246224686e-40	+/+	10700.5549226096	0.315439955727725
CYBA	RPL31	-0.386494278526297	0	-0.657755678317122	0	-7.46510552855648	8.32328791669279e-14	8.32328791669279e-14	-/-	9962.65152871981	0.312672938572219
PCBP1	RPL31	-0.189892747693223	1.80872075161709e-06	-0.678470334006763	0	-12.4174757631089	2.10085941399096e-35	2.10085941399096e-35	-/-	6041.32538599415	0.300498063087991
RPSA	RPL31	0.296224306007075	4.39648317751562e-14	0.562745286450355	0	6.49157575563391	8.49431788295101e-11	8.49431788295101e-11	+/+	6327.9352054908	0.29994465965689
SNHG29	RPL31	0.421680269583473	0	0.704650808403652	0	8.35755253992423	6.40327911393769e-17	6.40327911393769e-17	+/+	4562.1231063864	0.299391256225789
S100A11	RPL31	-0.497020954559338	0	-0.792461970852365	0	-10.4321074287817	1.76920151250569e-25	1.76920151250569e-25	-/-	11477.0375100191	0.29551743220808
NME2	RPL31	0.0626968791956123	0.117980263159839	0.495805302949261	0	9.41912386401419	4.54867579329234e-21	4.54867579329234e-21	0/+	5049.90186099797	0.289429994465966
RPL18A	RPL31	0.197807555493455	6.4707527558383e-07	0.624401491407553	0	10.4137710708972	2.14550575464584e-25	2.14550575464584e-25	+/+	11348.9264688892	0.287216380741561
RPL13	RPL31	0.280881885370348	9.26814180957081e-13	0.716055839405753	0	11.9634226527835	5.52372864149005e-33	5.52372864149005e-33	+/+	12828.7204753392	0.284449363586054
RPL17	RPL31	0.302001638021308	1.33226762955019e-14	0.579437358075224	0	6.85248735103072	7.2576805918715e-12	7.2576805918715e-12	+/+	8562.95469694766	0.27836192584394
RPL12	RPL31	0.524445380470109	0	0.80164080015095	0	10.1982935121159	2.01786725283236e-24	2.01786725283236e-24	+/+	10250.2909288091	0.277255118981738
MYL12A	RPL31	-0.367633665675049	0	-0.737988917514517	0	-10.9744183316546	5.07313047666213e-28	5.07313047666213e-28	-/-	6471.27144624458	0.272274488101826
RPS12	RPL31	0.449065265825331	0	0.81713834784843	0	13.0161149260699	9.90854323367929e-39	9.90854323367929e-39	+/+	12373.0357441624	0.263973436635307
RPS13	RPL31	0.612416559171023	0	0.816519814030231	0	8.4899783748029	2.06675554045654e-17	2.06675554045654e-17	+/+	12218.3318720444	0.258439402324294
RPS4X	RPL31	0.36603801483913	0	0.669320949057402	0	8.33653558010292	7.64988050627982e-17	7.64988050627982e-17	+/+	9573.77429218838	0.253458771444383
UBC	RPL31	-0.44409184432804	0	-0.723820024150329	0	-8.583979261157	9.1646501405862e-18	9.1646501405862e-18	-/-	6346.57864774437	0.251798561151079
RPS19	RPL31	0.406258576975818	0	0.646162126678893	0	6.61091139397039	3.8196106888842e-11	3.8196106888842e-11	+/+	10917.0573102712	0.249584947426674
RPL24	RPL31	0.22420123912783	1.54053378942365e-08	0.822512667811102	0	18.3400526374726	3.96413100756887e-75	3.96413100756887e-75	+/+	7174.12038600742	0.247371333702269
FCER1G	RPL31	-0.478696801961965	0	-0.712099358096573	0	-7.24893849685049	4.2005055783693e-13	4.2005055783693e-13	-/-	8814.10184690239	0.247371333702269
ITM2B	RPL31	-0.49435091737197	0	-0.718304595495339	0	-7.09605423273776	1.28369120521506e-12	1.28369120521506e-12	-/-	8868.76547951883	0.246817930271168
CARD16	RPL31	-0.321638578195849	2.22044604925031e-16	-0.685196207077329	0	-9.89738825737464	4.27287788497203e-23	4.27287788497203e-23	-/-	4300.34620864846	0.244604316546763
RPL18	RPL31	0.265361390188674	1.68323133209469e-11	0.814902337973763	0	17.0303194057084	4.89363920455066e-65	4.89363920455066e-65	+/+	9177.59904678132	0.239623685666851
RNASET2	RPL31	0.120458918104467	0.00259887276305104	-0.53749345068327	0	-14.1335113153528	2.36073537340995e-45	2.36073537340995e-45	+/-	3923.58655354337	0.238516878804649
